customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
1554,Land,Aarons,Male,83,8/12/1994,Assistant Manager,Retail,Affluent Customer,N,No,3
2497,Gustav,Aaronsohn,Male,33,4/5/1969,Administrative Assistant IV,Property,Affluent Customer,N,No,12
869,Addia,Abels,Female,7,3/11/1984,Account Representative I,Financial Services,High Net Worth,N,Yes,10
2021,Ulrica,Abelwhite,U,31,,Software Test Engineer I,IT,High Net Worth,N,Yes,
3593,Carry,Abercromby,Female,71,4/10/1996,Legal Assistant,Retail,Mass Customer,N,No,5
817,Niel,Abilowitz,Male,38,4/8/1992,Editor,Financial Services,Mass Customer,N,Yes,6
273,Nevile,Abraham,Male,54,4/22/1963,Computer Systems Analyst IV,n/a,Mass Customer,N,No,19
3498,Lois,Abrahim,Female,28,11/2/1995,Unspecified,Manufacturing,Mass Customer,N,No,5
2575,Hagan,Abrahmer,Male,87,6/7/1974,Business Systems Development Analyst,Financial Services,High Net Worth,N,Yes,16
1449,Ashly,Abramamovh,Female,38,8/26/1967,Staff Accountant IV,n/a,High Net Worth,N,No,4
3512,Vladimir,Abramowsky,Male,68,3/24/1994,VP Accounting,Financial Services,Mass Customer,N,Yes,8
2281,Valaria,Abrehart,Female,56,5/10/1989,Unspecified,n/a,High Net Worth,N,Yes,14
3210,Stella,Abreheart,Female,80,2/1/1988,Junior Executive,Manufacturing,Mass Customer,N,No,1
704,Lindsay,Acaster,Female,49,12/8/1998,Research Nurse,Health,Mass Customer,N,No,4
1636,Karly,Ackenhead,Female,65,5/12/1980,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,5
3620,Gerry,Ackhurst,Male,21,7/30/1991,Computer Systems Analyst II,Retail,Mass Customer,N,No,5
1038,Fraser,Acome,U,57,,Engineer I,Manufacturing,Mass Customer,N,Yes,
407,Chryste,Acum,Female,82,1/12/1979,Structural Analysis Engineer,n/a,High Net Worth,N,Yes,15
162,Port,Acuna,Male,90,8/12/1979,Nurse Practicioner,IT,Mass Customer,N,No,15
3979,Kleon,Adam,Male,67,7/13/1974,Unspecified,Financial Services,Mass Customer,N,Yes,18
2903,Avery,Adamov,Male,47,9/20/1977,Operator,Manufacturing,Affluent Customer,N,Yes,9
306,Ruy,Adanet,Male,19,8/2/1973,Registered Nurse,Health,High Net Worth,N,No,18
3196,Teddi,Adcocks,Female,11,8/4/1977,Engineer IV,Health,Mass Customer,N,No,8
2940,Wilek,Adolf,Male,83,11/12/1970,Business Systems Development Analyst,n/a,Affluent Customer,N,Yes,14
2333,Ives,Adolfson,Male,82,4/19/1966,Structural Analysis Engineer,Financial Services,Mass Customer,N,Yes,10
2916,Lauren,Adolfson,Male,23,8/3/1969,Product Engineer,Manufacturing,Affluent Customer,N,Yes,9
314,Catie,Advani,Female,27,8/25/1962,Marketing Assistant,Retail,High Net Worth,N,Yes,5
3471,Brita,Afonso,Female,95,9/5/1953,Quality Engineer,IT,High Net Worth,N,Yes,8
1540,Ilene,Agett,Female,53,3/17/1962,Mechanical Systems Engineer,Property,Mass Customer,N,Yes,19
3030,Flor,Agnew,Female,68,5/21/1998,Technical Writer,Manufacturing,Affluent Customer,N,No,3
3108,Trip,Ahmed,Male,94,10/1/1967,Accounting Assistant III,Entertainment,Mass Customer,N,No,10
3743,Riki,Aimable,Female,85,8/2/1986,Tax Accountant,Property,Mass Customer,N,No,22
3633,Donavon,Ainsby,Male,32,4/18/1983,Biostatistician III,Health,Mass Customer,N,No,5
